journal_id,cluster
1,2
2,6
3,23
4,17
5,23
6,10
7,2
8,24
9,17
10,17
11,2
12,2
13,17
14,2
15,2
16,2
17,2
18,2
19,22
20,23
21,23
22,2
23,6
24,7
25,6
26,2
27,2
28,2
29,15
30,17
31,6
32,6
33,6
35,6
36,25
37,17
39,17
40,2
41,2
42,23
43,23
44,6
45,2
46,2
47,23
48,2
49,10
50,2
51,2
52,22
53,6
54,17
55,17
56,25
57,25
58,23
59,8
60,24
61,22
62,22
63,6
64,23
65,22
66,8
67,23
68,22
70,7
72,20
73,7
74,25
75,2
76,23
77,6
78,6
79,14
80,22
81,6
82,22
83,6
84,17
85,25
87,23
88,25
89,2
90,19
91,6
92,25
93,23
94,6
95,24
96,6
97,25
98,21
99,6
100,25
101,22
102,2
103,19
104,7
105,17
106,24
107,17
108,8
109,17
110,17
111,6
113,17
114,25
115,6
116,7
117,6
118,22
119,17
120,6
121,7
123,14
124,24
125,6
126,6
127,17
128,22
129,6
130,2
131,6
132,17
133,17
134,6
135,22
136,25
137,24
138,2
139,6
140,17
141,2
142,24
143,2
144,23
145,17
146,6
147,2
148,17
149,19
150,2
151,7
152,7
153,2
155,17
156,6
157,8
158,6
159,17
160,14
161,6
162,6
163,6
164,23
165,6
166,6
167,24
168,14
169,6
170,23
171,2
172,6
173,2
174,7
175,17
176,22
177,2
178,17
180,6
181,23
182,2
183,6
184,23
185,14
186,24
188,3
189,6
190,2
192,6
193,23
194,2
195,23
196,6
197,7
198,2
199,2
200,2
201,6
202,22
203,19
204,22
205,17
207,6
208,6
209,2
210,2
211,6
213,6
215,2
216,6
218,22
219,17
220,17
221,17
222,2
223,23
224,22
225,22
226,25
227,6
228,2
229,23
230,17
231,8
232,17
233,2
234,2
235,24
236,7
237,24
238,25
239,23
240,7
241,17
242,2
243,6
244,23
245,23
246,19
247,17
248,9
249,6
250,23
251,25
253,2
254,6
255,23
256,17
257,6
258,6
259,2
260,17
261,25
265,22
266,6
267,7
268,6
269,2
270,6
271,24
273,15
274,2
275,2
276,6
277,2
278,10
279,17
280,10
281,24
282,23
283,22
284,25
285,6
286,19
287,6
288,17
289,6
290,6
291,14
292,17
293,23
294,2
295,2
296,15
297,2
298,6
299,2
300,19
301,22
302,17
303,25
304,6
305,2
306,17
307,6
309,23
310,25
311,6
312,22
313,6
314,6
315,23
316,6
318,21
319,21
320,22
321,15
322,6
323,6
324,22
325,17
326,17
327,22
328,2
329,2
330,2
331,6
333,7
334,2
335,24
336,23
337,2
339,23
340,23
341,20
342,17
343,6
345,6
346,6
347,6
348,23
349,25
350,21
351,23
352,6
353,21
354,23
355,2
356,22
357,17
358,24
359,16
361,22
362,23
363,17
364,25
365,22
366,23
367,17
368,22
369,17
370,6
371,24
372,17
373,6
374,6
375,25
376,22
377,22
378,17
379,6
380,6
381,17
382,25
384,22
385,23
